,Company.Name,Date,Group.1,Group.2,PR_AVG_Tone,PR_LM_Tone,PR_LIWC_Tone,PR_DIC_Tone,PR_H06_Tone,PR_H08_Tone,MA_AVG_Tone,MA_LM_Tone,MA_LIWC_Tone,MA_DIC_Tone,MA_H06_Tone,MA_H08_Tone
650,AVIS EUROPE DEAD - 04/10/11,24/02/2000,AVIS EUROPE DEAD - 04/10/11,24/02/2000,0.765109903,0.288461539,0.87283237,0.846153846,0.910958904,0.907142857,0.524641026,0.466666667,0.72,0.1,0.668269231,0.668269231
2196,CENTRICA,24/02/2000,CENTRICA,24/02/2000,0.133333333,0,0.333333333,0.333333333,0,0,0.211622103,-0.090909091,0.882352941,-1,0.666666667,0.6
2734,DIAGEO,24/02/2000,DIAGEO,24/02/2000,0.462972778,0.002592593,0.79458696,0.358378871,0.580545717,0.578759752,0.792857143,0.5,0.75,1,0.857142857,0.857142857
4751,LADBROKES,24/02/2000,LADBROKES,24/02/2000,0.441474262,-0.060275962,0.794044376,0.301960784,0.598188116,0.573453997,0.06959707,0.142857143,0.538461538,-0.333333333,0,0
6206,REED ELSEVIER,24/02/2000,REED ELSEVIER,24/02/2000,0.444880152,0.038397005,0.769179281,0.431072631,0.498412698,0.487339145,0.241897989,-0.121417798,0.523148148,0.03968254,0.426900585,0.341176471
6358,RIO TINTO,24/02/2000,RIO TINTO,24/02/2000,0.365180663,-0.041570881,0.710703506,0.467836257,0.345023629,0.343910806,0.182967033,-0.016666667,0.314285715,0.30952381,0.153846154,0.153846154
6113,RANK GROUP,25/02/2000,RANK GROUP,25/02/2000,0.599363196,0.074879227,0.802973978,0.549668874,0.780104712,0.789189189,0.338054226,0.272727273,0.684210526,0,0.333333333,0.4
1772,BUNZL,28/02/2000,BUNZL,28/02/2000,0.759671702,0.295918368,0.868852459,0.833333334,0.902527076,0.897727273,0.740291604,0.692307692,0.764705882,0.777777778,0.733333333,0.733333333
2453,CRH,29/02/2000,CRH,29/02/2000,0.705442506,0.197674419,0.83984375,0.776,0.853881279,0.859813084,0.913795853,0.894736842,0.916666667,1,0.878787879,0.878787879
2999,ELEMENTIS,29/02/2000,ELEMENTIS,29/02/2000,0.339850772,0.075862069,0.589285714,0.452054795,0.3,0.282051282,0.318095238,-0.333333333,0.733333333,0.333333333,0.428571429,0.428571429
3431,GALLIFORD TRY,29/02/2000,GALLIFORD TRY,29/02/2000,0.625706146,0.214285715,0.851851852,0.5,0.784615385,0.777777778,0.523636364,0,0.818181818,-0.2,1,1
4845,LONDON BRIDGE SOFTWARE DEAD - 28/06/04,29/02/2000,LONDON BRIDGE SOFTWARE DEAD - 28/06/04,29/02/2000,0.632605994,-0.301369863,0.916666667,0.792207792,0.879120879,0.876404495,0.584965035,-0.25,0.538461538,1,0.818181818,0.818181818
6987,SHIRE,29/02/2000,SHIRE,29/02/2000,0.144788035,-0.134502924,0.230769231,-0.853479853,0.740412979,0.740740741,0.515789474,0.2,0.578947368,-0.2,1,1
870,BBA AVIATION,01/03/2000,BBA AVIATION,01/03/2000,0.658343112,0.091836735,0.813432836,0.608695652,0.89010989,0.88764045,0.699368614,0.166666667,0.846153846,0.714285714,0.894736842,0.875
3412,GALLAHER GROUP DEAD - 18/04/07,01/03/2000,GALLAHER GROUP DEAD - 18/04/07,01/03/2000,0.329616507,-0.18005698,0.74552543,0.420634921,0.328645833,0.333333333,0.492352941,-0.2,0.764705882,0.5,0.647058824,0.75
7748,THISTLE HOTELS DEAD - 17/07/03,01/03/2000,THISTLE HOTELS DEAD - 17/07/03,01/03/2000,0.632493834,0.135416667,0.798882682,0.56626506,0.833333334,0.828571429,-0.162857143,-0.714285714,0.066666667,-1,0.333333333,0.5
6000,PSION DEAD - 26/10/12,02/03/2000,PSION DEAD - 26/10/12,02/03/2000,0.539862432,0.096618357,0.89860583,0.385674931,0.659356725,0.659056316,0.157671486,-0.229761905,0.531612971,-0.085294118,0.306721811,0.265078672
6470,ROLLS-ROYCE HOLDINGS,02/03/2000,ROLLS-ROYCE HOLDINGS,02/03/2000,0.691739003,0.213114754,0.826086957,0.732824428,0.847290641,0.839378239,0.445094388,-0.083333333,0.540462185,0.379166667,0.706562912,0.682613511
4159,IMI,06/03/2000,IMI,06/03/2000,0.689560441,0.166666667,0.901840491,0.75862069,0.816326531,0.804347826,0.496666667,0.166666667,0.933333334,0.8,0.291666667,0.291666667
