"","X.substring.year..1..4.."
"665","2005"
"666","2005"
"667","2006"
"668","2006"
"669","2006"
"670","2007"
"671","2010"
"672","2000"
"673","2001"
"674","2002"
"675","2002"
"676","2002"
"677","2003"
"678","2004"
"679","2004"
"680","2005"
"681","2006"
"682","2012"
"683","2000"
"684","2000"
"685","2000"
"686","2000"
"687","2001"
"688","2002"
"689","2002"
"690","2003"
"691","2003"
"692","2003"
"693","2004"
"694","2004"
"695","2004"
"696","2004"
"697","2004"
"698","2005"
"699","2005"
"700","2005"
"701","2005"
"702","2006"
"703","2006"
"704","2006"
"705","2000"
"706","2001"
"707","2004"
"708","2004"
"709","2005"
"710","2006"
"711","2006"
"712","2007"
"713","2008"
"714","2008"
"715","2008"
"716","2009"
"717","2009"
"718","2009"
"719","2009"
"720","2010"
"721","2010"
"722","2010"
"723","2010"
"724","2010"
"725","2011"
"726","2011"
"727","2011"
"728","2012"
"729","2000"
"730","2001"
"731","2001"
"732","2001"
"733","2002"
"734","2002"
"735","2002"
"736","2003"
"737","2003"
"738","2004"
"739","2004"
"740","2004"
"741","2004"
"742","2005"
"743","2005"
"744","2005"
"745","2006"
"746","2006"
"747","2007"
"748","2007"
"749","2008"
"750","2008"
"751","2008"
"752","2008"
"753","2008"
"754","2009"
"755","2009"
"756","2010"
"757","2010"
"758","2010"
"759","2010"
"760","2011"
"761","2011"
"762","2011"
"763","2011"
"764","2012"
"765","2012"
"766","2012"
"767","2000"
"768","2001"
"769","2001"
"770","2002"
"771","2003"
"772","2004"
"773","2004"
"774","2005"
"775","2005"
"776","2006"
"777","2006"
"778","2006"
"779","2007"
"780","2007"
"781","2007"
"782","2008"
"783","2008"
"784","2008"
"785","2008"
"786","2008"
"787","2009"
"788","2009"
"789","2009"
"790","2009"
"791","2009"
"792","2010"
"793","2010"
"794","2010"
"795","2010"
"796","2010"
"797","2012"
"798","2012"
"799","2012"
"800","2012"
"801","2000"
"802","2001"
"803","2003"
"804","2007"
"805","2008"
"806","2008"
"807","2008"
"808","2008"
"809","2008"
"810","2009"
"811","2009"
"812","2009"
"813","2010"
"814","2010"
"815","2011"
"816","2011"
"817","2011"
"818","2011"
"819","2012"
"820","2012"
"821","2012"
"822","2000"
"823","2000"
"824","2001"
"825","2002"
"826","2003"
"827","2004"
"828","2004"
"829","2005"
"830","2005"
"831","2005"
"832","2006"
"833","2006"
"834","2006"
"835","2006"
"836","2006"
"837","2007"
"838","2007"
"839","2007"
"840","2008"
"841","2008"
"842","2008"
"843","2008"
"844","2008"
"845","2008"
"846","2009"
"847","2009"
"848","2010"
"849","2010"
"850","2010"
"851","2010"
"852","2010"
"853","2010"
"854","2010"
"855","2011"
"856","2011"
"857","2011"
"858","2011"
"859","2012"
"860","2012"
"861","2012"
"862","2001"
"863","2002"
"864","2005"
"865","2008"
"866","2008"
"867","2008"
"868","2010"
"869","2012"
"870","2000"
"871","2001"
"872","2001"
"873","2002"
"874","2003"
"875","2003"
"876","2003"
"877","2003"
"878","2004"
"879","2004"
"880","2004"
"881","2005"
"882","2006"
"883","2006"
"884","2007"
"885","2007"
"886","2009"
"887","2011"
"888","2001"
"889","2002"
"890","2002"
"891","2002"
"892","2003"
"893","2003"
"894","2005"
"895","2006"
"896","2006"
"897","2006"
"898","2007"
"899","2007"
"900","2007"
"901","2007"
"902","2008"
"903","2008"
"904","2008"
"905","2008"
"906","2008"
"907","2008"
"908","2009"
