"","months","years","AverageTone","Diction_Tone","Henry2006_Tone","Henry2008_Tone","LIWC_Tone","LM_Tone"
"53","February","2012",-0.0745487726863248,-0.220211275320513,0.0517495702692308,0.0535584159786325,0.22729692024359,-0.485137494602564
"54","January","2000",-0.127160251359259,-0.223588893277778,-0.0671056716666667,-0.0357817005185185,0.110978854240741,-0.420303845574074
"55","January","2001",-0.106108430070588,-0.218494148082353,-0.0283243063882353,-0.00423604605882353,0.133844052682353,-0.413331702505882
"56","January","2002",-0.117933819969136,-0.17322943762963,-0.054321392462963,-0.0466924877098765,0.0730756376234568,-0.388501419666667
"57","January","2003",-0.123665753048315,-0.137823382932584,-0.0332547949101124,-0.021144185505618,0.084395584258427,-0.510501986151685
"58","January","2004",-0.0992376550311475,-0.141441667352459,-0.0933165530983606,-0.0774068279918033,0.139379294581967,-0.323402521295082
"59","January","2005",-0.089709123043299,-0.12109756057732,0.00992451675773196,0.0330784515721649,0.0794361027113402,-0.449887125680412
"60","January","2006",-0.0871005215506849,-0.203935767465753,-0.0346722539246575,-0.0170437973013699,0.213866010828767,-0.393716799890411
"61","January","2007",-0.117943994941304,-0.211390046619565,-0.024214083076087,-0.00296667151086956,0.104236990652174,-0.455386164152174
"62","January","2008",-0.0949473660874576,-0.0931052446101695,-0.0036986492779661,0.0143685750949153,0.112339972254237,-0.504641483898305
"63","January","2009",-0.135087225432895,-0.153161594430921,-0.102994356296053,-0.0972978725625,0.145742397529605,-0.467724701404605
"64","January","2010",-0.0656257097076923,-0.148332098508547,0.0284530815726496,0.0394786718247863,0.198995724145299,-0.44672392757265
"65","January","2011",-0.0890715913157895,-0.128733632990132,0.0367261002828947,0.0709192971019737,0.0908384529572368,-0.515108173930921
"66","January","2012",-0.100648874714935,-0.096258001038961,0.00627403983441558,0.02845882175,0.0553109208571429,-0.497030154977273
"67","January","2013",0,0,0,0,0,0
"68","January","2014",0,0,0,0,0,0
"69","July","2000",-0.0981921114846154,-0.232743114525641,0.0320420734487179,0.0412618971282051,0.144543718435897,-0.476065131910256
"70","July","2001",-0.129355412636098,-0.248293725117073,-0.0483388618341463,-0.0393739305512195,0.154742648707317,-0.465513194385366
"71","July","2002",-0.11623432004127,-0.137572349328042,-0.125626711910053,-0.121690415179894,0.230816834597884,-0.427098958386243
"72","July","2003",-0.1378970049104,-0.263042696828,-0.136340212284,-0.13264788656,0.29919110114,-0.45664533002
"73","July","2004",-0.0821052363624309,-0.0746053480276243,-0.0922825027900553,-0.0900528204419889,0.257387645209945,-0.410973155762431
"74","July","2005",-0.114120055490385,-0.0739887149230769,-0.183678156629808,-0.179145661572115,0.317873301418269,-0.451661045745192
"75","July","2006",-0.0996456312482759,-0.139758792027586,-0.126559397855172,-0.120508384524138,0.334738138303448,-0.446139720137931
"76","July","2007",-0.0962996549409396,-0.120099367060403,-0.0986205077449664,-0.0882558757919463,0.245887392147651,-0.420409916255034
"77","July","2008",-0.107603757702362,-0.0897543783188976,-0.092716334019685,-0.0886316017992126,0.263720433440945,-0.530636907814961
"78","July","2009",-0.119516681344144,-0.155454976798799,-0.153876234,-0.150899961423423,0.30736292381982,-0.444715158318318
"79","July","2010",-0.104849695507143,-0.111781820185714,-0.0826006575821429,-0.0690699826857143,0.298567109575,-0.559363126657143
"80","July","2011",-0.121987974760515,-0.119843854094421,-0.129142371536481,-0.119238630407725,0.281015556227468,-0.522730573991416
"81","July","2012",-0.158974099326667,-0.1903573887,-0.093007286275,-0.073242366675,0.111352747147222,-0.549616202130556
"82","July","2014",0,0,0,0,0,0
"83","June","2000",-0.08798746081,-0.2506934046,-0.044419807025,-0.040330651975,0.306402237675,-0.410895678125
"84","June","2001",-0.101253422713433,-0.175629253865672,-0.056149004358209,-0.0503174580447761,0.254117372835821,-0.478288770134328
"85","June","2002",-0.0999606714822222,-0.125386151077778,-0.0887750674,-0.0852889323777778,0.222357610511111,-0.422710817066667
"86","June","2003",-0.122096634683099,-0.229917351739437,-0.0986064239788732,-0.0794962428098592,0.21878160143662,-0.421244756323944
"87","June","2004",-0.0838812608666667,-0.123565246380952,-0.119471195936508,-0.111851547015873,0.239850472412698,-0.304368787412698
"88","June","2005",-0.141878701185827,-0.235884035543307,-0.214060034637795,-0.201583057716535,0.318483692850394,-0.37635007088189
"89","June","2006",-0.0676334940717391,-0.09490538225,-0.0603863855869565,-0.0591927878586957,0.23092182851087,-0.354604743173913
"90","June","2007",-0.084092811761194,0.0166809122537313,-0.164253148164179,-0.148708202716418,0.287088047537313,-0.411271667716418
"91","June","2008",-0.0846462142447761,-0.0491577683507463,-0.129093543858209,-0.120196862776119,0.327056453037313,-0.451839349276119
"92","June","2009",-0.1184072116688,-0.037903150616,-0.216385166928,-0.213373146128,0.38406551088,-0.508440105552
"93","June","2010",-0.123366871817734,-0.176731660551724,-0.0178103390197044,-0.00617762622167488,0.150559666650246,-0.566674399945813
"94","June","2011",-0.137930173462857,-0.08796411352,-0.193216379657143,-0.187642374382857,0.248458189091429,-0.469286188845714
"95","June","2012",-0.0950832456650307,-0.065105546404908,-0.0837816423251534,-0.0699556416993865,0.255819865760736,-0.512393263656442
"96","March","2000",-0.115713300112329,-0.308706927041096,-0.00769770149315069,-0.0103669037534247,0.175282844068493,-0.427077812342466
"97","March","2001",-0.15124252642243,-0.283402188738318,-0.0359872255794393,-0.0319300296728972,0.121481583682243,-0.526374771803738
"98","March","2002",-0.0937260928099379,-0.282623733180124,-0.023106951173913,-0.0331272130248447,0.249385058751553,-0.37915762542236
