"","Dates","GEReturns"
"271","2001-01-30",4.12725239213142
"272","2001-01-31",-0.585494462339874
"273","2001-02-01",0.542241866509854
"274","2001-02-02",0.108094271773558
"275","2001-02-05",3.33611953838095
"276","2001-02-06",-0.523835688111249
"277","2001-02-07",-1.37494922670405
"278","2001-02-08",0.403864934105177
"279","2001-02-09",-3.18992351929286
"280","2001-02-12",3.9717532000779
"281","2001-02-13",-0.739409743325824
"282","2001-02-14",-1.92684620997732
"283","2001-02-15",3.65066438421516
"284","2001-02-16",-2.06366557014899
"285","2001-02-20",1.45741096313176
"286","2001-02-21",-0.821143698513823
"287","2001-02-22",-0.423731579671191
"288","2001-02-23",-1.97261546331768
"289","2001-02-26",3.82374534851992
"290","2001-02-27",0.0416753496342406
"291","2001-02-28",-3.17486983145803
"292","2001-03-01",-1.27693543321801
"293","2001-03-02",-2.96219713026661
"294","2001-03-05",1.13777465786825
"295","2001-03-06",0.751375910679913
"296","2001-03-07",1.22540266910895
"297","2001-03-08",-0.239523252669621
"298","2001-03-09",-4.59491621566935
"299","2001-03-12",-10.1033056896263
"300","2001-03-13",6.6667034025263
"301","2001-03-14",-3.11926196989622
"302","2001-03-15",0.121795166416412
"303","2001-03-16",-1.17534163992461
"304","2001-03-19",1.22400554937853
"305","2001-03-20",-2.58794242948083
"306","2001-03-21",-2.65670024159325
"307","2001-03-22",-3.39015251504828
"308","2001-03-23",5.89693518920651
"309","2001-03-26",0.598351309046789
"310","2001-03-27",4.09114759752832
"311","2001-03-28",-0.862696470291185
"312","2001-03-29",-0.361656809362195
"313","2001-03-30",1.10498117665613
"314","2001-04-02",-0.143442529974232
"315","2001-04-03",-5.20490331905933
"316","2001-04-04",-0.201821466128903
"317","2001-04-05",6.12186254270134
"318","2001-04-06",-2.23379059796467
"319","2001-04-09",1.99598310806186
"320","2001-04-10",4.26489417781949
"321","2001-04-11",-1.28590058247697
"322","2001-04-12",3.2513969754094
"323","2001-04-16",-0.111917187554734
"324","2001-04-17",1.79784443116965
"325","2001-04-18",5.20738970462951
"326","2001-04-19",1.28632275551799
"327","2001-04-20",-0.848778549683865
"328","2001-04-23",-1.88882217537228
"329","2001-04-24",-2.5969888738404
"330","2001-04-25",3.88108185145919
"331","2001-04-26",3.06892172105304
"332","2001-04-27",1.30984643499138
"333","2001-04-30",-2.88403823032687
"334","2001-05-01",0.779973173995203
"335","2001-05-02",0.387711951601073
"336","2001-05-03",-1.22951961238389
"337","2001-05-04",2.90582265690804
"338","2001-05-07",0.0600640728846124
"339","2001-05-08",-0.965411771707686
"340","2001-05-09",-0.101102020541914
"341","2001-05-10",0.805972511090847
"342","2001-05-11",-1.65929343163194
"343","2001-05-14",1.45840546131902
"344","2001-05-15",0.841018156165565
"345","2001-05-16",4.02554739807393
"346","2001-05-17",-0.191714015774439
"347","2001-05-18",1.67463661363427
"348","2001-05-21",0.770752917169177
"349","2001-05-22",-1.35749065442517
"350","2001-05-23",-2.55709794489072
"351","2001-05-24",0.0973313945451403
"352","2001-05-25",-2.86156862570421
"353","2001-05-29",-0.562143626107797
"354","2001-05-30",-1.31727107535378
"355","2001-05-31",-0.040807998934
"356","2001-06-01",0
"357","2001-06-04",0.914178018054134
"358","2001-06-05",-0.547504150312129
"359","2001-06-06",-0.878183934419035
"360","2001-06-07",0.327667710740963
"361","2001-06-08",-1.58684629690861
"362","2001-06-11",-1.54911406870568
"363","2001-06-12",2.84930988268385
"364","2001-06-13",-1.90442936202821
"365","2001-06-14",2.08880101945544
"366","2001-06-15",-0.102385590957258
"367","2001-06-18",0.388506772396563
"368","2001-06-19",-0.265660729101481
"369","2001-06-20",3.81419381396912
"370","2001-06-21",0.940998905921464
"371","2001-06-22",1.18321813746846
"372","2001-06-25",-3.15372524540171
"373","2001-06-26",-2.94851526154363
"374","2001-06-27",-1.0922375569052
"375","2001-06-28",1.25606720649151
"376","2001-06-29",0.265660729101484
"377","2001-07-02",2.41947485073754
"378","2001-07-03",-1.38404176405507
"379","2001-07-05",-2.12295584888485
"380","2001-07-06",-3.31406587136169
"381","2001-07-09",-0.085344577999001
"382","2001-07-10",-2.35406626297481
"383","2001-07-11",-2.54522318085762
"384","2001-07-12",5.21895301533869
"385","2001-07-13",0.952894442069377
"386","2001-07-16",-2.62639196488621
"387","2001-07-17",-0.238275857600658
"388","2001-07-18",0.0867136379921601
"389","2001-07-19",0.712510825785075
"390","2001-07-20",0.322201972199489
"391","2001-07-23",-2.89371218517178
"392","2001-07-24",-2.91173764956718
"393","2001-07-25",-0.455583936691118
"394","2001-07-26",-0.114218174772646
"395","2001-07-27",2.03627393117168
"396","2001-07-30",-2.37972476319123
"397","2001-07-31",-0.22961663887895
"398","2001-08-01",-1.62228588713735
"399","2001-08-02",-1.41178344846165
"400","2001-08-03",1.29489506441209
"401","2001-08-06",-3.23299137825536
"402","2001-08-07",3.27976406386018
"403","2001-08-08",-2.6535505606759
"404","2001-08-09",0.598445802872947
"405","2001-08-10",1.58639051792731
"406","2001-08-13",-0.801891089420882
"407","2001-08-14",-0.903911980009419
"408","2001-08-15",-0.167401695223568
"409","2001-08-16",-0.431761300322898
"410","2001-08-17",-1.94180622899816
"411","2001-08-20",1.77339766633709
"412","2001-08-21",-2.58550499662473
"413","2001-08-22",0.934578874896685
"414","2001-08-23",0.464045288258312
"415","2001-08-24",2.28843170975034
"416","2001-08-27",0.427747800489767
"417","2001-08-28",-2.25428736125779
"418","2001-08-29",-1.51517803961258
"419","2001-08-30",-1.01473458220858
"420","2001-08-31",1.72630914479134
"421","2001-09-04",-0.171295763343669
"422","2001-09-05",2.10839984704972
"423","2001-09-06",-2.91991786730774
"424","2001-09-07",-2.09588510208436
"425","2001-09-10",-0.784719905416018
"426","2001-09-17",-11.2871248881813
"427","2001-09-18",-3.76857348815893
"428","2001-09-19",-4.06988509383955
